"Step","Helium More Expressive - Energy","Helium More Expressive - Energy__MIN","Helium More Expressive - Energy__MAX"
"74","-2.871765613555908","-2.871765613555908","-2.871765613555908"
"75","-2.9002389907836914","-2.9002389907836914","-2.9002389907836914"
"76","-2.8588106632232666","-2.8588106632232666","-2.8588106632232666"
"77","-2.9131901264190674","-2.9131901264190674","-2.9131901264190674"
"78","-2.92257022857666","-2.92257022857666","-2.92257022857666"
"79","-2.871630907058716","-2.871630907058716","-2.871630907058716"
"80","-2.8326034545898438","-2.8326034545898438","-2.8326034545898438"
"81","-2.8631644248962402","-2.8631644248962402","-2.8631644248962402"
"82","-2.8502871990203857","-2.8502871990203857","-2.8502871990203857"
"83","-2.8446383476257324","-2.8446383476257324","-2.8446383476257324"
"84","-2.8697352409362793","-2.8697352409362793","-2.8697352409362793"
"85","-2.836364984512329","-2.836364984512329","-2.836364984512329"
"86","-2.8975651264190674","-2.8975651264190674","-2.8975651264190674"
"87","-2.8695006370544434","-2.8695006370544434","-2.8695006370544434"
"88","-2.870178461074829","-2.870178461074829","-2.870178461074829"
"89","-2.842994213104248","-2.842994213104248","-2.842994213104248"
"90","-2.842200756072998","-2.842200756072998","-2.842200756072998"
"91","-2.869978904724121","-2.869978904724121","-2.869978904724121"
"92","-2.8792288303375244","-2.8792288303375244","-2.8792288303375244"
"93","-2.874176502227783","-2.874176502227783","-2.874176502227783"
"94","-2.8889658451080322","-2.8889658451080322","-2.8889658451080322"
"95","-2.8829479217529297","-2.8829479217529297","-2.8829479217529297"
"96","-2.8474280834198","-2.8474280834198","-2.8474280834198"
"97","-2.872483968734741","-2.872483968734741","-2.872483968734741"
"98","-3.050837516784668","-3.050837516784668","-3.050837516784668"
"99","-2.898041009902954","-2.898041009902954","-2.898041009902954"
"100","-2.868929147720337","-2.868929147720337","-2.868929147720337"
"101","-2.9123973846435547","-2.9123973846435547","-2.9123973846435547"
"102","-3.0895185470581055","-3.0895185470581055","-3.0895185470581055"
"103","-2.9123635292053223","-2.9123635292053223","-2.9123635292053223"
"104","-2.8665449619293213","-2.8665449619293213","-2.8665449619293213"
"105","-2.870983123779297","-2.870983123779297","-2.870983123779297"
"106","-2.8398804664611816","-2.8398804664611816","-2.8398804664611816"
"107","-2.9270524978637695","-2.9270524978637695","-2.9270524978637695"
"108","-2.8889918327331543","-2.8889918327331543","-2.8889918327331543"
"109","-2.8648834228515625","-2.8648834228515625","-2.8648834228515625"
"110","-2.8805201053619385","-2.8805201053619385","-2.8805201053619385"
"111","-2.8802661895751953","-2.8802661895751953","-2.8802661895751953"
"112","-2.859158754348755","-2.859158754348755","-2.859158754348755"
"113","-2.859611988067627","-2.859611988067627","-2.859611988067627"
"114","-3.0448954105377197","-3.0448954105377197","-3.0448954105377197"
"115","-2.8901524543762207","-2.8901524543762207","-2.8901524543762207"
"116","-2.9027256965637207","-2.9027256965637207","-2.9027256965637207"
"117","-2.890223741531372","-2.890223741531372","-2.890223741531372"
"118","-2.861445426940918","-2.861445426940918","-2.861445426940918"
"119","-2.8956522941589355","-2.8956522941589355","-2.8956522941589355"
"120","-2.9116547107696533","-2.9116547107696533","-2.9116547107696533"
"121","-2.8748817443847656","-2.8748817443847656","-2.8748817443847656"
"122","-2.875481367111206","-2.875481367111206","-2.875481367111206"
"123","-2.8930604457855225","-2.8930604457855225","-2.8930604457855225"
"124","-2.856074571609497","-2.856074571609497","-2.856074571609497"
"125","-2.859156608581543","-2.859156608581543","-2.859156608581543"
"126","-2.8782317638397217","-2.8782317638397217","-2.8782317638397217"
"127","-2.865309000015259","-2.865309000015259","-2.865309000015259"
"128","-2.8547115325927734","-2.8547115325927734","-2.8547115325927734"
"129","-2.864870071411133","-2.864870071411133","-2.864870071411133"
