"Step","CUDA_BATCHED_HIDROGEN - Energy","CUDA_BATCHED_HIDROGEN - Energy__MIN","CUDA_BATCHED_HIDROGEN - Energy__MAX"
"135","-0.49974939227104187","-0.49974939227104187","-0.49974939227104187"
"136","-0.4994523525238037","-0.4994523525238037","-0.4994523525238037"
"137","-0.49985799193382263","-0.49985799193382263","-0.49985799193382263"
"138","-0.5002284646034241","-0.5002284646034241","-0.5002284646034241"
"139","-0.4998023509979248","-0.4998023509979248","-0.4998023509979248"
"140","-0.4997919499874115","-0.4997919499874115","-0.4997919499874115"
"141","-0.5005552768707275","-0.5005552768707275","-0.5005552768707275"
"142","-0.4998750686645508","-0.4998750686645508","-0.4998750686645508"
"143","-0.5001717209815979","-0.5001717209815979","-0.5001717209815979"
"144","-0.49988773465156555","-0.49988773465156555","-0.49988773465156555"
"145","-0.4996289312839508","-0.4996289312839508","-0.4996289312839508"
"146","-0.4998987019062042","-0.4998987019062042","-0.4998987019062042"
"147","-0.49994757771492004","-0.49994757771492004","-0.49994757771492004"
"148","-0.4998035430908203","-0.4998035430908203","-0.4998035430908203"
"149","-0.4999476373195648","-0.4999476373195648","-0.4999476373195648"
"150","-0.5000283718109131","-0.5000283718109131","-0.5000283718109131"
"151","-0.4996222257614136","-0.4996222257614136","-0.4996222257614136"
"152","-0.4999144375324249","-0.4999144375324249","-0.4999144375324249"
"153","-0.4997948706150055","-0.4997948706150055","-0.4997948706150055"
"154","-0.49958813190460205","-0.49958813190460205","-0.49958813190460205"
"155","-0.4997730255126953","-0.4997730255126953","-0.4997730255126953"
"156","-0.5003083944320679","-0.5003083944320679","-0.5003083944320679"
"157","-0.4999290406703949","-0.4999290406703949","-0.4999290406703949"
"158","-0.5000007748603821","-0.5000007748603821","-0.5000007748603821"
"159","-0.49992674589157104","-0.49992674589157104","-0.49992674589157104"
"160","-0.499843031167984","-0.499843031167984","-0.499843031167984"
"161","-0.4999179542064667","-0.4999179542064667","-0.4999179542064667"
"162","-0.49987301230430603","-0.49987301230430603","-0.49987301230430603"
"163","-0.4999844431877136","-0.4999844431877136","-0.4999844431877136"
"164","-0.5004121661186218","-0.5004121661186218","-0.5004121661186218"
"165","-0.4998699724674225","-0.4998699724674225","-0.4998699724674225"
"166","-0.4999936521053314","-0.4999936521053314","-0.4999936521053314"
