"Step","LITHIUM_SOTA - Energy","LITHIUM_SOTA - Energy__MIN","LITHIUM_SOTA - Energy__MAX"
"221","-7.404443264007568","-7.404443264007568","-7.404443264007568"
"222","-7.469074249267578","-7.469074249267578","-7.469074249267578"
"223","-7.404117107391357","-7.404117107391357","-7.404117107391357"
"224","-7.3942437171936035","-7.3942437171936035","-7.3942437171936035"
"225","-7.424942970275879","-7.424942970275879","-7.424942970275879"
"226","-7.438963890075684","-7.438963890075684","-7.438963890075684"
"227","-7.387385368347168","-7.387385368347168","-7.387385368347168"
"228","-7.35883903503418","-7.35883903503418","-7.35883903503418"
"229","-7.443812847137451","-7.443812847137451","-7.443812847137451"
"230","-7.526413917541504","-7.526413917541504","-7.526413917541504"
"231","-7.423553466796875","-7.423553466796875","-7.423553466796875"
"232","-7.534238338470459","-7.534238338470459","-7.534238338470459"
"233","-7.578418731689453","-7.578418731689453","-7.578418731689453"
"234","-7.231243133544922","-7.231243133544922","-7.231243133544922"
"235","-7.470958232879639","-7.470958232879639","-7.470958232879639"
"236","-7.460224151611328","-7.460224151611328","-7.460224151611328"
"237","-7.3898210525512695","-7.3898210525512695","-7.3898210525512695"
"238","-7.535885810852051","-7.535885810852051","-7.535885810852051"
"239","-7.450597763061523","-7.450597763061523","-7.450597763061523"
"240","-7.257107734680176","-7.257107734680176","-7.257107734680176"
"241","-7.398477554321289","-7.398477554321289","-7.398477554321289"
"242","-7.281858921051025","-7.281858921051025","-7.281858921051025"
"243","-7.319965362548828","-7.319965362548828","-7.319965362548828"
"244","-7.463608264923096","-7.463608264923096","-7.463608264923096"
"245","-7.365396976470947","-7.365396976470947","-7.365396976470947"
"246","-7.458189010620117","-7.458189010620117","-7.458189010620117"
"247","-7.377847671508789","-7.377847671508789","-7.377847671508789"
"248","-7.369025230407715","-7.369025230407715","-7.369025230407715"
"249","-7.380633354187012","-7.380633354187012","-7.380633354187012"
"250","-7.300454616546631","-7.300454616546631","-7.300454616546631"
"251","-7.248350143432617","-7.248350143432617","-7.248350143432617"
"252","-7.333064556121826","-7.333064556121826","-7.333064556121826"
"253","-7.411113262176514","-7.411113262176514","-7.411113262176514"
"254","-7.39127254486084","-7.39127254486084","-7.39127254486084"
"255","-7.554206371307373","-7.554206371307373","-7.554206371307373"
"256","-7.541169166564941","-7.541169166564941","-7.541169166564941"
"257","-7.537917613983154","-7.537917613983154","-7.537917613983154"
"258","-7.477301120758057","-7.477301120758057","-7.477301120758057"
"259","-7.459481239318848","-7.459481239318848","-7.459481239318848"
"260","-7.462984561920166","-7.462984561920166","-7.462984561920166"
"261","-7.436591625213623","-7.436591625213623","-7.436591625213623"
"262","-7.399454116821289","-7.399454116821289","-7.399454116821289"
"263","-7.450418472290039","-7.450418472290039","-7.450418472290039"
"264","-7.48807954788208","-7.48807954788208","-7.48807954788208"
"265","-7.407707214355469","-7.407707214355469","-7.407707214355469"
"266","-7.508665084838867","-7.508665084838867","-7.508665084838867"
"267","-7.425858020782471","-7.425858020782471","-7.425858020782471"
"268","-7.4559326171875","-7.4559326171875","-7.4559326171875"
"269","-7.444067001342773","-7.444067001342773","-7.444067001342773"
"270","-7.507440090179443","-7.507440090179443","-7.507440090179443"
"271","-7.548936367034912","-7.548936367034912","-7.548936367034912"
"272","-7.4472784996032715","-7.4472784996032715","-7.4472784996032715"
"273","-7.44541072845459","-7.44541072845459","-7.44541072845459"
"274","-7.439664363861084","-7.439664363861084","-7.439664363861084"
"275","-7.457659721374512","-7.457659721374512","-7.457659721374512"
"276","-7.701759338378906","-7.701759338378906","-7.701759338378906"
"277","-7.402774810791016","-7.402774810791016","-7.402774810791016"
"278","-7.505517959594727","-7.505517959594727","-7.505517959594727"
"279","-7.470324516296387","-7.470324516296387","-7.470324516296387"
"280","-7.42819881439209","-7.42819881439209","-7.42819881439209"
"281","-7.4203901290893555","-7.4203901290893555","-7.4203901290893555"
"282","-7.41547966003418","-7.41547966003418","-7.41547966003418"
"283","-7.413760185241699","-7.413760185241699","-7.413760185241699"
"284","-7.460283279418945","-7.460283279418945","-7.460283279418945"
"285","-7.472231864929199","-7.472231864929199","-7.472231864929199"
"286","-7.403447151184082","-7.403447151184082","-7.403447151184082"
"287","-7.462905406951904","-7.462905406951904","-7.462905406951904"
"288","-7.460270881652832","-7.460270881652832","-7.460270881652832"
"289","-7.440430641174316","-7.440430641174316","-7.440430641174316"
"290","-7.449764251708984","-7.449764251708984","-7.449764251708984"
"291","-7.420072078704834","-7.420072078704834","-7.420072078704834"
"292","-7.425328254699707","-7.425328254699707","-7.425328254699707"
"293","-8.045093536376953","-8.045093536376953","-8.045093536376953"
"294","-7.534228324890137","-7.534228324890137","-7.534228324890137"
